region,budget,model,side,term,flux_Gt_yr,sd_Gt_yr,pct_of_side_total,pct_lo,pct_hi,pct_of_scale_ref,reservoir_Gt_yr,scale_ref_Gt_yr
IA,ice,HadGEM3-GC31-LL,sink,Lateral melt,547.99,9.19,3.61,3.55,3.67,2.56,15195.57,21401.5
IA,ice,HadGEM3-GC31-LL,sink,Basal melt,7471.59,188.57,49.17,47.93,50.41,34.91,15195.57,21401.5
IA,ice,HadGEM3-GC31-LL,sink,Dynamics,1163.28,85.84,7.66,7.09,8.22,5.44,15195.57,21401.5
IA,ice,UKESM1-0-LL,source,Snow-to-ice,92.92,2.41,0.67,0.65,0.69,0.43,14803.37,21401.5
IA,ice,UKESM1-0-LL,source,Open water ice production,2145.83,43.85,15.45,15.13,15.76,10.03,14803.37,21401.5
IA,ice,UKESM1-0-LL,source,Basal growth,11652.22,56.31,83.88,83.48,84.29,54.45,14803.37,21401.5
IA,ice,UKESM1-0-LL,source,Residual,912.41,,,,,4.26,14803.37,21401.5
IA,ice,UKESM1-0-LL,sink,Vapour Exchange,245.46,3.32,1.66,1.64,1.68,1.15,14803.37,21401.5
IA,ice,UKESM1-0-LL,sink,Top melt,5505.61,36.58,37.19,36.94,37.44,25.73,14803.37,21401.5
IA,ice,UKESM1-0-LL,sink,Lateral melt,555.05,8.43,3.75,3.69,3.81,2.59,14803.37,21401.5
IA,ice,UKESM1-0-LL,sink,Basal melt,6968.84,113.0,47.08,46.31,47.84,32.56,14803.37,21401.5
IA,ice,UKESM1-0-LL,sink,Dynamics,1528.41,72.29,10.32,9.84,10.81,7.14,14803.37,21401.5
IA,ice,MRI-ESM2-0,source,Snow-to-ice,81.29,4.15,0.62,0.59,0.65,0.38,13054.59,21401.5
IA,ice,MRI-ESM2-0,source,Open water ice production,6747.68,58.97,51.69,51.24,52.14,31.53,13054.59,21401.5
IA,ice,MRI-ESM2-0,source,Basal growth,6225.62,150.45,47.69,46.54,48.84,29.09,13054.59,21401.5
IA,ice,MRI-ESM2-0,sink,Vapour Exchange,34.33,1.26,0.28,0.27,0.3,0.16,13054.59,21401.5
IA,ice,MRI-ESM2-0,sink,Top melt,2957.58,56.99,24.53,24.06,25.01,13.82,13054.59,21401.5
IA,ice,MRI-ESM2-0,sink,Basal melt,9063.62,102.37,75.18,74.33,76.03,42.35,13054.59,21401.5
IA,ice,MRI-ESM2-0,sink,Residual,999.06,,,,,4.67,13054.59,21401.5
IA,ice,CESM2-WACCM,source,Snow-to-ice,195.32,13.75,1.51,1.41,1.62,0.91,12942.96,21401.5
IA,ice,CESM2-WACCM,source,Open water ice production,2083.06,27.59,16.14,15.93,16.35,9.73,12942.96,21401.5
IA,ice,CESM2-WACCM,source,Basal growth,10628.51,124.42,82.35,81.38,83.31,49.66,12942.96,21401.5
IA,ice,CESM2-WACCM,source,Residual,36.07,,,,,0.17,12942.96,21401.5
IA,ice,CESM2-WACCM,sink,Vapour Exchange,19.78,25.46,0.15,0.0,0.35,0.09,12942.96,21401.5
IA,ice,CESM2-WACCM,sink,Top melt,3234.93,125.47,24.99,24.02,25.96,15.12,12942.96,21401.5
IA,ice,CESM2-WACCM,sink,Lateral melt,447.71,6.1,3.46,3.41,3.51,2.09,12942.96,21401.5
IA,ice,CESM2-WACCM,sink,Basal melt,7980.72,66.71,61.66,61.15,62.18,37.29,12942.96,21401.5
IA,ice,CESM2-WACCM,sink,Dynamics,1259.83,103.73,9.73,8.93,10.54,5.89,12942.96,21401.5
IA,ice,CESM2-LE,source,Snow-to-ice,223.6,16.1,1.76,1.63,1.89,1.04,12723.69,21401.5
IA,ice,CESM2-LE,source,Open water ice production,2061.77,41.44,16.24,15.91,16.56,9.63,12723.69,21401.5
IA,ice,CESM2-LE,source,Basal growth,10412.82,225.77,82.0,80.22,83.78,48.65,12723.69,21401.5
