region,budget,model,side,term,flux_Gt_yr,sd_Gt_yr,pct_of_side_total,pct_lo,pct_hi,pct_of_scale_ref,reservoir_Gt_yr,scale_ref_Gt_yr
IA,snow,CNRM-ESM2-1,source,Snowfall,1484.8,0.0,100.0,100.0,100.0,30.8,1484.8,4820.13
IA,snow,CNRM-ESM2-1,sink,Vapour Exchange,42.29,0.0,2.86,2.86,2.86,0.88,1484.8,4820.13
IA,snow,CNRM-ESM2-1,sink,Snowmelt,1036.47,0.0,70.21,70.21,70.21,21.5,1484.8,4820.13
IA,snow,CNRM-ESM2-1,sink,Snow-to-ice,315.87,0.0,21.4,21.4,21.4,6.55,1484.8,4820.13
IA,snow,CNRM-ESM2-1,sink,Dynamics,81.57,0.0,5.53,5.53,5.53,1.69,1484.8,4820.13
IA,snow,CNRM-ESM2-1,sink,Residual,8.6,,,,,0.18,1484.8,4820.13
IA,snow,IPSL-CM6A-LR,source,Snowfall,1114.13,30.08,100.0,97.3,102.7,23.11,1119.64,4820.13
IA,snow,IPSL-CM6A-LR,source,Residual,5.51,,,,,0.11,1119.64,4820.13
IA,snow,IPSL-CM6A-LR,sink,Vapour Exchange,84.36,2.0,7.53,7.36,7.71,1.75,1119.64,4820.13
IA,snow,IPSL-CM6A-LR,sink,Snowmelt,780.99,23.87,69.75,67.62,71.89,16.2,1119.64,4820.13
IA,snow,IPSL-CM6A-LR,sink,Snow-to-ice,54.86,1.95,4.9,4.73,5.07,1.14,1119.64,4820.13
IA,snow,IPSL-CM6A-LR,sink,Dynamics,199.44,7.54,17.81,17.14,18.49,4.14,1119.64,4820.13
IA,snow,EC-Earth3,source,Snowfall,1182.83,34.35,100.0,97.1,102.9,24.54,1182.83,4820.13
IA,snow,EC-Earth3,sink,Snowmelt,765.74,29.15,100.0,96.19,103.81,15.89,1182.83,4820.13
IA,snow,EC-Earth3,sink,Residual,417.09,,,,,8.65,1182.83,4820.13
IA,snow,MME,source,Snowfall,1220.01,91.45,100.0,92.5,107.5,25.31,1309.97,4820.13
IA,snow,MME,source,Residual,89.96,,,,,1.87,1309.97,4820.13
IA,snow,MME,sink,Vapour Exchange,144.71,34.27,11.05,8.43,13.66,3.0,1309.97,4820.13
IA,snow,MME,sink,Wind drift,110.1,2.97,8.41,8.18,8.63,2.28,1309.97,4820.13
IA,snow,MME,sink,Snowmelt,796.55,105.91,60.81,52.72,68.89,16.53,1309.97,4820.13
IA,snow,MME,sink,Snow-to-ice,80.57,47.57,6.15,2.52,9.78,1.67,1309.97,4820.13
IA,snow,MME,sink,Dynamics,178.04,46.5,13.59,10.04,17.14,3.69,1309.97,4820.13
